Player ID,Name,Price,Season,25,50,75,100
CD_I998030,Kiara Bowers,161800,-700,-13800,-10000,-6200,-2400
CD_I998040,Hayley Miller,87000,1500,-3800,0,3800,7500
CD_I1007001,Kate Darby,63700,2100,-700,3100,6900,10600
CD_I1007028,Shelley Scott,64200,-2300,-5200,-1400,2400,6200
CD_I1007155,Meghan McDonald,63100,-2200,-5000,-1200,2600,6400
CD_I1007342,Chloe Scheer,53700,-2200,-4000,-300,3500,7300
CD_I1009778,Olivia Fuller,84700,-6700,-11700,-8000,-4200,-400
CD_I1009860,Rebecca Webster,95000,-2700,-8800,-5000,-1200,2600
CD_I1009863,Nina Morrison,109900,-5600,-13300,-9500,-5700,-1900
CD_I1009906,Mikayla Bowen,84500,-100,-5100,-1300,2400,6200
CD_I1010675,Erin Hoare,55500,1500,-500,3200,7000,10800
CD_I1012470,Renee Garing,63800,2000,-900,2900,6700,10500
CD_I1012560,Chantel Emonson,100700,-1700,-8400,-4600,-800,2900
CD_I1012640,Julia Crockett-Grills,83000,-1200,-6000,-2200,1500,5300
CD_I1013933,Georgie Rankin,55400,-3100,-5100,-1400,2400,6200
CD_I1014785,Zali Friswell,66100,1100,-2000,1800,5600,9300
CD_I1014810,Georgie Prespakis,137600,200,-10400,-6600,-2800,1000
CD_I1015181,Darcy Moloney,87700,-2600,-8000,-4200,-400,3400
CD_I1015185,Mia Skinner,28700,0,800,4600,8400,12100
CD_I1015188,Ingrid Houtsma,28700,0,800,4600,8400,12100
CD_I1015193,Gabbi Featherston,31100,400,900,4700,8500,12300
CD_I1018405,Jacqueline Parry,69500,2400,-1000,2700,6500,10300
CD_I1018955,Kate Surman,61800,0,-2700,1100,4900,8700
CD_I1019668,Abbey McDonald,33900,-1900,-1700,2100,5900,9700
CD_I1019788,Brooke Plummer,47700,100,-1000,2700,6500,10300
CD_I1022127,Claudia Gunjaca,62800,-1600,-4400,-600,3200,7000
CD_I1022133,Annabel Johnson,75600,-900,-4900,-1200,2600,6400
CD_I1024296,Rachel Kearns,44700,-200,-1100,2700,6500,10300
CD_I1025879,Samantha Gooden,28700,0,800,4600,8400,12100
CD_I1026012,Melissa Bragg,28700,-1800,-1000,2800,6600,10400
CD_I1033161,Anna-Rose Kennedy,28700,0,800,4600,8400,12100
CD_I1033166,Aishling Moloney,55600,-1000,-3000,800,4600,8300
CD_I997709,Amy McDonald,133900,100,-10000,-6200,-2500,1300
CD_I1001681,Jodie Hicks,77200,-2200,-6400,-2700,1100,4900
CD_I1001688,Pepa Randall,48700,-1600,-2900,900,4700,8500
CD_I1005452,Nicola Barr,100900,-900,-7700,-3900,-100,3700
CD_I1005453,Rebecca Beeson,95900,5000,-1200,2600,6400,10200
CD_I1007006,Jasmine Grierson,56700,100,-2000,1800,5600,9300
CD_I1009781,Tait Mackrill,77000,0,-4200,-500,3300,7100
CD_I1009799,Alyce Parker,143700,-1700,-12900,-9100,-5300,-1600
CD_I1009801,Haneen Zreika,98300,3000,-3400,400,4100,7900
CD_I1009822,Georgia Garnett,66700,900,-2300,1500,5300,9000
CD_I1009866,Rene Caris,48400,2300,1000,4800,8600,12400
CD_I1010244,Annalyse Lister,60800,1500,-1000,2800,6600,10300
CD_I1012549,Chloe Dalton,73800,-1600,-5500,-1700,2100,5900
CD_I1017286,Emily Pease,74400,-1000,-5000,-1200,2600,6400
CD_I1017292,Tarni Evans,89700,-1300,-6800,-3000,800,4500
CD_I1017323,Annise Bradfield,32200,0,400,4200,8000,11800
CD_I1019783,Zara Hamilton,28700,0,800,4600,8400,12100
CD_I1019848,Meghan Gaffney,36900,0,-100,3700,7500,11300
CD_I1021894,Madison Brazendale,58100,-800,-3100,700,4500,8300
CD_I1022358,Zarlie Goldsworthy,136300,6400,-4000,-200,3500,7300
CD_I1022697,Caitlin Miller,28700,-1200,-400,3400,7100,10900
CD_I1022723,Brodee Mowbray,47300,1400,300,4100,7800,11600
CD_I1022726,Teagan Germech,35300,2300,2400,6200,9900,13700
CD_I1022736,Jessica Doyle,39300,1000,700,4500,8200,12000
CD_I1022750,Isadora McLeay,28700,-2600,-1900,1900,5700,9500
CD_I1024584,Fleur Davies,55900,300,-1800,2000,5800,9600
CD_I1024984,Ally Dallaway,76300,4200,100,3900,7600,11400
CD_I1028179,Tess Cattle,39800,0,-400,3400,7200,11000
CD_I1029617,Cambridge McCormick,42000,-1800,-2400,1400,5100,8900
CD_I1030006,Grace Hill,33900,-1500,-1200,2600,6400,10100
CD_I997725,Isabel Huntington,41400,2600,2100,5900,9700,13500
CD_I997733,Katherine Smith,48000,-900,-2100,1600,5400,9200
CD_I998029,Alicia Eva,97200,-2800,-9100,-5300,-1500,2200
CD_I1005863,Lauren Pearce,80500,600,-4000,-200,3600,7300
CD_I1007011,Sarah Lampard,64600,-2000,-5000,-1200,2600,6400
CD_I1007157,Libby Birch,57300,-1200,-3400,400,4200,8000
CD_I1008031,Jordan Ivey,39300,0,-300,3500,7300,11000
CD_I1009764,Eden Zanker,93800,100,-5900,-2200,1600,5400
CD_I1009853,Tyla Hanks,117800,-1100,-9600,-5800,-2000,1700
CD_I1009861,Olivia Purcell,116900,0,-8300,-4600,-800,3000
CD_I1009880,Charlotte Wilson,28700,-300,500,4300,8100,11900
CD_I1009976,Maddison Gay,78500,-1600,-5900,-2200,1600,5400
CD_I1009980,Kate Hore,118200,-2800,-11300,-7600,-3800,0
CD_I1010236,Gabrielle Colvin,36700,100,0,3800,7600,11400
CD_I1012575,Casey Sherriff,60600,3600,1100,4800,8600,12400
CD_I1012713,Shelley Heath,69800,800,-2700,1100,4900,8700
CD_I1012715,Samantha Johnson,35700,0,100,3800,7600,11400
CD_I1012734,Rhiannon Watt,52800,2000,300,4100,7900,11600
CD_I1014367,Alyssa Bannan,61300,-2500,-5100,-1300,2500,6300
CD_I1014793,Tahlia Gillard,58500,2600,300,4100,7900,11700
CD_I1014904,Megan Fitzsimon,58100,6400,4100,7900,11700,15500
CD_I1015025,Georgia Gall,28700,0,800,4600,8400,12200
CD_I1015029,Maeve Chaplin,46300,1300,200,4000,7800,11600
CD_I1015088,Eliza McNamara,97000,3300,-3000,800,4600,8300
CD_I1018966,Sinead Goldrick,68100,1400,-2000,1800,5600,9400
CD_I1019713,Georgia Campbell,55200,-1200,-3200,600,4400,8200
CD_I1022111,Eliza West,104800,500,-6600,-2800,900,4700
CD_I1024297,Georgina Fowler,28700,0,800,4600,8400,12100
CD_I1029625,Blaithin Mackin,84600,3500,-1500,2200,6000,9800
CD_I1029628,Saraid Taylor,28700,0,800,4600,8400,12100
CD_I1033162,Aimee Mackin,40000,1300,900,4700,8500,12300
CD_I997708,Lily Mithen,102700,1800,-5100,-1300,2400,6200
CD_I998039,Tayla Harris,87000,-3700,-9000,-5200,-1400,2400
CD_I998149,Paxy Paxman,114300,1000,-7100,-3300,500,4300
CD_I1001686,Emma King,92300,-1800,-7600,-3900,-100,3700
CD_I1003018,Jenna Bruton,132400,-1500,-11500,-7700,-4000,-200
CD_I1003023,Tahlia Randall,65400,-1800,-4800,-1000,2800,6600
CD_I1007138,Kate Shierlaw,76000,-700,-4800,-1100,2700,6500
CD_I1009772,Mia King,127100,3000,-6500,-2700,1100,4900
CD_I1010265,Ash Riddell,162500,200,-12900,-9200,-5400,-1600
CD_I1010677,Kim Rennie,86600,-1100,-6300,-2600,1200,5000
CD_I1013120,Nicole Bresnehan,87400,-4000,-9400,-5600,-1800,2000
CD_I1013442,Jasmine Ferguson,48700,2500,1300,5000,8800,12600
CD_I1013947,Ailish Considine,33500,-1500,-1200,2600,6400,10200
CD_I1014979,Cassidy Mailer,28700,0,800,4600,8400,12100
CD_I1015019,Sophia McCarthy,28700,0,800,4600,8400,12100
CD_I1015097,Bella Eddey,59800,-1800,-4300,-500,3300,7100
CD_I1015124,Ruby Tripodi,38700,-100,-300,3500,7200,11000
