"Name","PlayerFirstName","PlayerSurname","Team","Number","Position","Price","PriceChg","TotalPriceChg","PricedAt","Breakeven","LastScore","Played","Last3Avg","Last5Avg","SeasonAvg","Games","SeasonScore","StateAvg","LastSeason","LastSeasonGames","LastSeasonHigh","2022B","LiveScore","Playing","player_id","season_num","RoundID","score_column","PlayerIcon","OppTeam","StartPrice","StartPriceChg","MatchStatus","Kick","Handball","Marks","Tackles","Hitouts","FreeFor","FreeAgainst","Goals","Behinds","TimeOnGround"
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,9,"NONE",0,"GEE",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,10,"NONE",0,"STK",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,49.0242460082791,49.0242460082791,0,0,0,0,0,0,0,0,49,10,62,50.8,0,0,"CD_I1011091",7,0,"LAST",0,"-",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,1,"NONE",0,"MEL",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,2,"NONE",0,"RIC",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,3,"NONE",0,"NTH",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,4,"NONE",0,"COL",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,5,"NONE",0,"GWS",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,6,"NONE",0,"PTA",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,7,"NONE",0,"FRE",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,8,"NONE",0,"BRL",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,9,"NONE",0,"GEE",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Rachelle Martin","Rachelle","Martin","ADL",5,"Midfielder",82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011091",7,10,"NONE",0,"STK",82900,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,35.6002365464222,35.6002365464222,0,0,0,0,0,0,0,0,35.6,10,62,44.875,0,0,"CD_I1011092",7,0,"LAST",0,"-",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,1,"NONE",0,"MEL",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,2,"NONE",0,"RIC",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,3,"NONE",0,"NTH",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,4,"NONE",0,"COL",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,5,"NONE",0,"GWS",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,6,"NONE",0,"PTA",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,7,"NONE",0,"FRE",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,8,"NONE",0,"BRL",60200,0,0,0,0,0,0,0,0,0,0,0,0
