"member_id","round_id","teamValue","inTotal","outTotal","tradesTotal","CumTrades","remaining","cashcheck"
72584,1,1387100,1387100,0,-1387100,-1387100,1300,1300
72587,1,1380800,1380800,0,-1380800,-1380800,7600,7600
72589,1,1387200,1387200,0,-1387200,-1387200,1200,1200
72590,1,1384700,1384700,0,-1384700,-1384700,3700,3700
72591,1,1379600,1379600,0,-1379600,-1379600,8800,8800
72593,1,1381900,1381900,0,-1381900,-1381900,6500,6500
72594,1,1387300,1387300,0,-1387300,-1387300,1100,1100
72596,1,1386200,1386200,0,-1386200,-1386200,2200,2200
72600,1,1383600,1383600,0,-1383600,-1383600,4800,4800
72601,1,1385900,1385900,0,-1385900,-1385900,2500,2500
72603,1,1383100,1383100,0,-1383100,-1383100,5300,5300
72605,1,1387900,1387900,0,-1387900,-1387900,500,500
72606,1,1387900,1387900,0,-1387900,-1387900,500,500
72609,1,1377500,1377500,0,-1377500,-1377500,10900,10900
72610,1,1383400,1383400,0,-1383400,-1383400,5000,5000
72611,1,1384500,1384500,0,-1384500,-1384500,3900,3900
72612,1,1377900,1377900,0,-1377900,-1377900,10500,10500
72614,1,1385900,1385900,0,-1385900,-1385900,2500,2500
72615,1,1387900,1387900,0,-1387900,-1387900,500,500
72622,1,1386600,1386600,0,-1386600,-1386600,1800,1800
72623,1,1306800,1306800,0,-1306800,-1306800,81600,81600
72624,1,1368000,1368000,0,-1368000,-1368000,20400,20400
72630,1,1365400,1365400,0,-1365400,-1365400,23000,23000
72631,1,1380200,1380200,0,-1380200,-1380200,8200,8200
72632,1,1387600,1387600,0,-1387600,-1387600,800,800
72633,1,1388100,1388100,0,-1388100,-1388100,300,300
72634,1,1359000,1359000,0,-1359000,-1359000,29400,29400
72635,1,1382400,1382400,0,-1382400,-1382400,6000,6000
72636,1,1376000,1376000,0,-1376000,-1376000,12400,12400
72639,1,1386100,1386100,0,-1386100,-1386100,2300,2300
72641,1,1359100,1359100,0,-1359100,-1359100,29300,29300
72642,1,1375500,1375500,0,-1375500,-1375500,12900,12900
72643,1,1381700,1381700,0,-1381700,-1381700,6700,6700
72644,1,1386400,1386400,0,-1386400,-1386400,2000,2000
72646,1,1387000,1387000,0,-1387000,-1387000,1400,1400
72647,1,1380800,1380800,0,-1380800,-1380800,7600,7600
72648,1,1364600,1364600,0,-1364600,-1364600,23800,23800
72649,1,1388100,1388100,0,-1388100,-1388100,300,300
72651,1,1381600,1381600,0,-1381600,-1381600,6800,6800
72654,1,1378600,1378600,0,-1378600,-1378600,9800,9800
72656,1,1361300,1361300,0,-1361300,-1361300,27100,27100
72657,1,1388400,1388400,0,-1388400,-1388400,0,0
72660,1,1388300,1388300,0,-1388300,-1388300,100,100
72662,1,1357300,1357300,0,-1357300,-1357300,31100,31100
72664,1,1379400,1379400,0,-1379400,-1379400,9000,9000
72666,1,1386400,1386400,0,-1386400,-1386400,2000,2000
72667,1,1373500,1373500,0,-1373500,-1373500,14900,14900
72668,1,1368400,1368400,0,-1368400,-1368400,20000,20000
72669,1,1381200,1381200,0,-1381200,-1381200,7200,7200
72670,1,1379700,1379700,0,-1379700,-1379700,8700,8700
72671,1,1371900,1371900,0,-1371900,-1371900,16500,16500
72672,1,1356200,1356200,0,-1356200,-1356200,32200,32200
72673,1,1385600,1385600,0,-1385600,-1385600,2800,2800
72674,1,1322200,1322200,0,-1322200,-1322200,66200,66200
72675,1,1381800,1381800,0,-1381800,-1381800,6600,6600
72676,1,1376400,1376400,0,-1376400,-1376400,12000,12000
72677,1,1374400,1374400,0,-1374400,-1374400,14000,14000
72678,1,1381400,1381400,0,-1381400,-1381400,7000,7000
72679,1,1388400,1388400,0,-1388400,-1388400,0,0
72680,1,1384200,1384200,0,-1384200,-1384200,4200,4200
72681,1,1370600,1370600,0,-1370600,-1370600,17800,17800
72682,1,1387700,1387700,0,-1387700,-1387700,700,700
72684,1,1344800,1344800,0,-1344800,-1344800,43600,43600
72685,1,1363000,1363000,0,-1363000,-1363000,25400,25400
72687,1,1352800,1352800,0,-1352800,-1352800,35600,35600
72689,1,1371600,1371600,0,-1371600,-1371600,16800,16800
72690,1,1327800,1327800,0,-1327800,-1327800,60600,60600
72692,1,1380600,1380600,0,-1380600,-1380600,7800,7800
72693,1,1384900,1384900,0,-1384900,-1384900,3500,3500
72695,1,1382700,1382700,0,-1382700,-1382700,5700,5700
72697,1,1388300,1388300,0,-1388300,-1388300,100,100
72699,1,1370500,1370500,0,-1370500,-1370500,17900,17900
72701,1,1369900,1369900,0,-1369900,-1369900,18500,18500
72702,1,1374300,1374300,0,-1374300,-1374300,14100,14100
72704,1,1387700,1387700,0,-1387700,-1387700,700,700
72706,1,1369000,1369000,0,-1369000,-1369000,19400,19400
72707,1,1376700,1376700,0,-1376700,-1376700,11700,11700
72708,1,1386700,1386700,0,-1386700,-1386700,1700,1700
72709,1,1386300,1386300,0,-1386300,-1386300,2100,2100
72710,1,1388300,1388300,0,-1388300,-1388300,100,100
72711,1,1386300,1386300,0,-1386300,-1386300,2100,2100
72712,1,1375600,1375600,0,-1375600,-1375600,12800,12800
72713,1,1376600,1376600,0,-1376600,-1376600,11800,11800
72715,1,1385000,1385000,0,-1385000,-1385000,3400,3400
72716,1,1384500,1384500,0,-1384500,-1384500,3900,3900
72719,1,1370800,1370800,0,-1370800,-1370800,17600,17600
72720,1,1383100,1383100,0,-1383100,-1383100,5300,5300
72722,1,1382300,1382300,0,-1382300,-1382300,6100,6100
72723,1,1384400,1384400,0,-1384400,-1384400,4000,4000
72724,1,1369500,1369500,0,-1369500,-1369500,18900,18900
